areaType,areaName,areaCode,date,newOnsDeathsByRegistrationDate,cumOnsDeathsByRegistrationDate
overview,United Kingdom,K02000001,2020-10-09,474,58164
overview,United Kingdom,K02000001,2020-10-02,343,57690
overview,United Kingdom,K02000001,2020-09-25,234,57347
overview,United Kingdom,K02000001,2020-09-18,158,57113
overview,United Kingdom,K02000001,2020-09-11,110,56955
overview,United Kingdom,K02000001,2020-09-04,83,56845
overview,United Kingdom,K02000001,2020-08-28,110,56762
overview,United Kingdom,K02000001,2020-08-21,149,56652
overview,United Kingdom,K02000001,2020-08-14,146,56503
overview,United Kingdom,K02000001,2020-08-07,162,56357
overview,United Kingdom,K02000001,2020-07-31,201,56195
overview,United Kingdom,K02000001,2020-07-24,231,55994
overview,United Kingdom,K02000001,2020-07-17,303,55763
overview,United Kingdom,K02000001,2020-07-10,388,55460
overview,United Kingdom,K02000001,2020-07-03,561,55072
overview,United Kingdom,K02000001,2020-06-26,651,54511
overview,United Kingdom,K02000001,2020-06-19,849,53860
overview,United Kingdom,K02000001,2020-06-12,1204,53011
overview,United Kingdom,K02000001,2020-06-05,1697,51807
overview,United Kingdom,K02000001,2020-05-29,2000,50110
overview,United Kingdom,K02000001,2020-05-22,2872,48110
overview,United Kingdom,K02000001,2020-05-15,4214,45238
overview,United Kingdom,K02000001,2020-05-08,4426,41024
overview,United Kingdom,K02000001,2020-05-01,6680,36598
overview,United Kingdom,K02000001,2020-04-24,9008,29918
overview,United Kingdom,K02000001,2020-04-17,9495,20910
overview,United Kingdom,K02000001,2020-04-10,6888,11415
overview,United Kingdom,K02000001,2020-04-03,3801,4527
overview,United Kingdom,K02000001,2020-03-27,607,726
overview,United Kingdom,K02000001,2020-03-20,114,119
overview,United Kingdom,K02000001,2020-03-13,5,5
overview,United Kingdom,K02000001,2020-03-06,0,0
overview,United Kingdom,K02000001,2020-02-28,0,0
overview,United Kingdom,K02000001,2020-02-21,0,0
overview,United Kingdom,K02000001,2020-02-14,0,0
overview,United Kingdom,K02000001,2020-02-07,0,0
overview,United Kingdom,K02000001,2020-01-31,0,0
overview,United Kingdom,K02000001,2020-01-24,0,0
overview,United Kingdom,K02000001,2020-01-17,0,0
overview,United Kingdom,K02000001,2020-01-10,0,0
overview,United Kingdom,K02000001,2020-01-03,0,0
